group,Nitrogen,normal,stress
15100,7,73206,73206
15200,0,12968,12968
15300,0,15408,15408
15400,1,6863,6863
15500,361,47016,47016
15600,1,19202,19202
15700,0,15577,15577
15800,4,19531,19531
15900,22,10138,10138
16000,1470,60029,60029
16100,49,14804,14804
16200,33,17900,17900
16300,92,19258,19258
16400,79,15459,15459
16500,1776,51363,51363
16600,713,27899,27899
16700,705,36366,36366
16800,1027,35503,35503
16900,3078,29804,29804
17000,14815,48028,48028
17100,6561,17005,17005
17200,15351,26544,26544
17300,59382,49628,49628
17400,48525,19060,19060
17500,51830,8604,8604
17600,32949,4092,4092
17700,40025,3984,3984
17800,53820,3126,3126
17900,59818,1782,1782
18000,98279,3137,3137
18100,31356,742,742
18200,39513,1137,1137
18300,57316,1135,1135
18400,42251,210,210
18500,100893,753,753
18600,29108,45,45
18700,20726,263,263
18800,22470,5,5
18900,10458,3,3
19000,93232,378,378
19100,4855,2,2
19200,5313,1,1
19300,4386,1,1
19400,3922,1,1
19500,46733,1,1
19600,4241,1,1
19700,4976,1,1
19800,75807,0,0
